Source	Target	Type	Timestamp	Weight	OtherInfo	datum	b1-nummer	achternaam	voorletters	voorna(a)m(en)	roepnaam	prepositie	geslacht
6	10141	Directed		1.0	"werkzaam bij """""		2331	Oerle-van der Horst	N.W.	Nicolina Wilhelmina	Niny	van	v
6	10143	Directed		1.0	"lid bestuur ""the jpp foundation (japan prizewinner programme"")"		2606	Deetman	W.J.	Willem Joost	Wim		m
6	10171	Directed		1.0	lid curatorium	00-00-1993/00-00-2007	2278	Timmerman-Buck	Y.E.M.A.	Yvonne Elisabeth Marie Antoinette	Yvonne		v
6	10176	Directed		1.0	"voorzitter raad van commissarissen ijsstadion ""thialf"" te heerenveen"	00-10-2013/	2204	Atsma	J.J.	Johannes Jan	Joop		m
6	10178	Directed		1.0	"secretaris (afdelings)bestuur ""thomas a kempis college"" te arnhem"	00-00-1984/00-00-1996	2290	Beeten	R.H.	Robertus Hermanus	Rob	van de	m
6	10191	Directed		1.0	"voorzitter raad van toezicht ""thuiszorg enschede-haaksbergen"""	/(omstreeks: 00-00-2001)/	2626	Heeringa	B.	Bob	Bob		m
6	10193	Directed		1.0	vicevoorzitter raad van toezicht	/00-00-1999	3016	Nap-Borger	H.J.	Herma Janny	Herma		v
6	10195	Directed		1.0	gastdocent		3173	Flierman	A.H.	Anne Herman	Anne		m
6	10197	Directed		1.0	lid bestuur ticf (turks islamitische culturele federatie)	00-00-1994/00-00-1996	2386	Eski	N.	Nihat	Nihat		m
6	10202	Directed		1.0	voorzitter		2380	Donner	J.P.H.	Jan Pieter Hendrik	Piet Hein		m
6	10209	Directed		1.0	"redacteur """""	00-00-1992/	3007	Essers	P.H.J.	Petrus Hubertus Johannes	Peter		m
6	10210	Directed		1.0	"lid redactieraad ""tijdschrift voor geneeskunde en ethiek"" te nijmegen"	00-00-1992/00-00-2008	2278	Timmerman-Buck	Y.E.M.A.	Yvonne Elisabeth Marie Antoinette	Yvonne		v
6	10212	Directed		1.0	"voorzitter redactie """""	01-01-1987/	2265	Jong	E.P.	Engelbertus Pieter	Bert	de	m
6	10214	Directed		1.0	"voorzitter personeelsvereniging ""tille scheepsbouw"" b.v."		2325	Kortenhorst	R.W.F.	Roland Werner François	Roland		m
6	10215	Directed		1.0	lid tim-netwerk, gerelateerd aan tias business school te eindhoven		3049	Blanksma-van den Heuvel	P.J.M.G.	Petronella Johanna Maria Godefrida	Elly		v
